,Comparison_1,Comparison_2,GPT,Human,Difference
0,ANIMALS,BUFFALO,90.0,80.16666666666667,9.833333333333329
1,ANIMALS,DRAGON,85.0,90.14285714285714,-5.142857142857139
2,ANIMALS,SOUND,60.0,62.75,-2.75
3,ANIMALS,SCHOOL,30.0,11.375,18.625
4,ANIMALS,PANTS,10.0,3.5,6.5
5,ANIMALS,GLASS,10.0,24.11111111111111,-14.11111111111111
6,ANIMALS,NOTE,10.0,0.2,9.8
7,ANIMALS,SHARK,100.0,79.0,21.0
8,ANIMALS,LIGHT,20.0,13.666666666666666,6.333333333333334
9,ANIMALS,STRIKE,15.0,22.5,-7.5
10,ANIMALS,CLUB,20.0,4.0,16.0
11,ANIMALS,CYCLE,20.0,25.8,-5.800000000000001
12,OUTSIDE,YARD,85.0,85.0,0.0
13,OUTSIDE,SPELL,15.0,6.0,9.0
14,OUTSIDE,BALL,70.0,86.66666666666667,-16.66666666666667
15,OUTSIDE,ICE CREAM,20.0,28.0,-8.0
16,OUTSIDE,POISON,15.0,7.5,7.5
17,OUTSIDE,ROBOT,20.0,23.0,-3.0
18,OUTSIDE,ATLANTIS,15.0,37.125,-22.125
19,OUTSIDE,PASS,20.0,24.8,-4.800000000000001
20,OUTSIDE,BEACH,85.0,64.5,20.5
21,OUTSIDE,DEGREE,15.0,30.25,-15.25
22,OUTSIDE,BAR,20.0,31.2,-11.2
23,OUTSIDE,AFRICA,20.0,5.0,15.0
24,TOOLS,BALL,20.0,30.333333333333332,-10.333333333333332
25,TOOLS,PARACHUTE,30.0,35.5,-5.5
26,TOOLS,SATURN,10.0,0.3333333333333333,9.666666666666666
27,TOOLS,BERMUDA,10.0,18.833333333333332,-8.833333333333332
28,TOOLS,TURKEY,10.0,7.5,2.5
29,TOOLS,NET,30.0,33.333333333333336,-3.3333333333333357
30,TOOLS,CHICK,10.0,31.75,-21.75
31,TOOLS,MODEL,60.0,56.0,4.0
32,TOOLS,FILM,20.0,14.75,5.25
33,TOOLS,BOMB,40.0,44.75,-4.75
34,TOOLS,NOVEL,15.0,13.11111111111111,1.8888888888888893
35,TOOLS,SPOT,15.0,8.333333333333334,6.666666666666666
36,ABOVE,LIMOUSINE,5.0,34.6,-29.6
37,ABOVE,EAGLE,30.0,40.8,-10.799999999999997
38,ABOVE,WALL,30.0,14.166666666666666,15.833333333333334
39,ABOVE,DWARF,10.0,9.25,0.75
40,ABOVE,CHURCH,15.0,37.0,-22.0
41,ABOVE,SATURN,20.0,52.888888888888886,-32.888888888888886
42,ABOVE,SPACE,85.0,77.33333333333333,7.666666666666671
43,ABOVE,BARK,10.0,1.5,8.5
44,ABOVE,PRINCESS,10.0,25.25,-15.25
45,ABOVE,CYCLE,10.0,10.222222222222221,-0.22222222222222143
46,ABOVE,PAN,10.0,11.5,-1.5
47,ABOVE,PARACHUTE,70.0,63.5,6.5
48,INTERNET,GAME,85.0,79.5,5.5
49,INTERNET,OLYMPUS,10.0,7.0,3.0
50,INTERNET,WEB,100.0,85.0,15.0
51,INTERNET,PUMPKIN,5.0,22.666666666666668,-17.666666666666668
52,INTERNET,SLUG,10.0,4.714285714285714,5.285714285714286
53,INTERNET,LAP,5.0,7.5,-2.5
54,INTERNET,CONCERT,35.0,39.5,-4.5
55,INTERNET,STREAM,85.0,84.5,0.5
56,INTERNET,SPIKE,20.0,0.0,20.0
57,INTERNET,NUT,5.0,23.333333333333332,-18.333333333333332
58,INTERNET,MUG,10.0,4.0,6.0
59,INTERNET,SUB,60.0,25.2,34.8
60,SONG,COVER,85.0,73.0,12.0
61,SONG,MOUSE,10.0,18.0,-8.0
62,SONG,PLANE,10.0,7.285714285714286,2.7142857142857144
63,SONG,LOG,15.0,2.5,12.5
64,SONG,BAND,90.0,89.5,0.5
65,SONG,TAG,15.0,11.4,3.5999999999999996
66,SONG,FIRE,20.0,14.9,5.1
67,SONG,TAP,20.0,32.0,-12.0
68,SONG,TABLET,15.0,22.0,-7.0
69,SONG,KIWI,15.0,6.25,8.75
70,SONG,STATE,15.0,46.5,-31.5
71,SONG,KETCHUP,5.0,2.0,3.0
72,DESTRUCTION,BOMB,90.0,95.85714285714286,-5.857142857142861
73,DESTRUCTION,JAM,5.0,9.5,-4.5
74,DESTRUCTION,WAR,90.0,78.85714285714286,11.142857142857139
75,DESTRUCTION,WASHINGTON,15.0,46.25,-31.25
76,DESTRUCTION,BERMUDA,15.0,53.8,-38.8
77,DESTRUCTION,LOCK,20.0,14.0,6.0
78,DESTRUCTION,DRAGON,70.0,61.0,9.0
79,DESTRUCTION,FIRE,85.0,91.2,-6.200000000000003
80,DESTRUCTION,HORSESHOE,10.0,14.0,-4.0
81,DESTRUCTION,STATE,20.0,29.0,-9.0
82,DESTRUCTION,PILOT,20.0,6.166666666666667,13.833333333333332
83,DESTRUCTION,JUPITER,15.0,1.8,13.2
84,TEA,TIME,15.0,40.5,-25.5
85,TEA,HOTEL,30.0,57.666666666666664,-27.666666666666664
86,TEA,JACK,10.0,5.4,4.6
87,TEA,ROOT,20.0,36.0,-16.0
88,TEA,RABBIT,10.0,9.0,1.0
89,TEA,FIRE,15.0,4.75,10.25
90,TEA,POST,10.0,3.5,6.5
91,TEA,DEGREE,5.0,1.0,4.0
92,TEA,ENGLAND,85.0,59.5,25.5
93,TEA,SHOT,20.0,11.0,9.0
94,TEA,MUG,85.0,100.0,-15.0
95,TEA,CONDUCTOR,5.0,0.0,5.0
96,ROUND,GERMANY,10.0,8.0,2.0
97,ROUND,FAN,20.0,49.333333333333336,-29.333333333333336
98,ROUND,DOG,15.0,5.8,9.2
